이용일,"이용
시간",이용카드명,이용하신곳,"국내이용금액
(원)","해외이용금액
($)",결제방법,"가맹점
정보",할인금액,"적립(예상)
포인트리",상태,결제예정일,승인번호
2021-03-14,22:20,KB국민 nori 체크카드(RF),선물하기(쿠)_카카오페이,4100,0,일시불,,0,0,전표매입,,30009531
2021-03-14,00:43,KB국민 nori 체크카드(RF),KS넷(대표),2600,0,일시불,,0,0,전표매입,,30009523
2021-03-13,15:31,KB국민 nori 체크카드(RF),롯데마트 고양점,5980,0,일시불,,0,0,전표매입,,30009518
2021-03-11,06:20,KB국민 nori 체크카드(RF),버스 3 건,3600,0,일시불,,0,0,전표매입,2021-03-18,46590219
2021-03-11,18:00,KB국민 nori 체크카드(RF),씨유 행신중앙로점,1800,0,일시불,,0,0,전표매입,,30009507
2021-03-11,16:09,KB국민 nori 체크카드(RF),카페베르(고양터미널점),5500,0,일시불,,0,0,전표매입,,30009497
2021-03-09,16:15,KB국민 nori 체크카드(RF),선물하기(쿠)_카카오페이,3200,0,일시불,,0,0,전표매입,,30009485
2021-03-05,17:43,KB국민 nori 체크카드(RF),카카오_카카오페이,110,0,일시불,,0,0,전표매입,,30009474
2021-03-01,15:46,KB국민 nori 체크카드(RF),충전_카카오페이,5000,0,일시불,,0,0,전표매입,,30009463
2021-02-25,14:32,KB국민 nori 체크카드(RF),삼보팩,400,0,일시불,,0,0,전표매입,,30009454
2021-02-25,14:32,KB국민 nori 체크카드(RF),우정사업본부(우체국),4000,0,일시불,,0,0,전표매입,,30009445
2021-02-19,14:49,KB국민 nori 체크카드(RF),주식회사 아성다이소,2000,0,일시불,,0,0,전표매입,,30009435
2021-02-18,13:35,KB국민 nori 체크카드(RF),GSSHOP,20810,0,일시불,스타샵(적립),0,16,전표매입,,30009420
2021-02-15,16:25,KB국민 nori 체크카드(RF),GSSHOP,40750,0,일시불,스타샵(적립),0,32,전표매입,,30009419
2021-02-08,06:54,KB국민 nori 체크카드(RF),버스 1 건,1300,0,일시불,,0,0,전표매입,2021-02-18,47804778
2021-02-08,21:03,KB국민 nori 체크카드(RF),씨유 행신중앙로점,3400,0,일시불,,0,0,전표매입,,30009406
2021-02-07,16:30,KB국민 nori 체크카드(RF),대표_카카오페이,58000,0,일시불,,0,0,전표매입,,30009395
2021-02-05,12:01,KB국민 nori 체크카드(RF),(주)우아한형제들_카카오페이,17000,0,일시불,,0,0,전표매입,,30009384
2021-02-05,02:23,KB국민 nori 체크카드(RF),선물하기(쿠)_카카오페이,1000,0,일시불,,0,0,전표매입,,30009373
2021-02-03,11:27,KB국민 nori 체크카드(RF),롯데마트 고양점,2380,0,일시불,,0,0,전표매입,,30009361
2021-02-02,16:52,KB국민 nori 체크카드(RF),씨유 행신중앙로점,1000,0,일시불,,0,0,전표매입,,30009350
2021-02-01,01:04,KB국민 nori 체크카드(RF),충전_카카오페이,5000,0,일시불,,0,0,전표매입,,30009340
2021-01-31,06:37,KB국민 nori 체크카드(RF),버스 6 건,10650,0,일시불,,0,0,전표매입,2021-02-03,46917573
2021-01-31,12:52,KB국민 nori 체크카드(RF),사발,28000,0,일시불,,0,0,전표매입,,30009338
2021-01-30,14:48,KB국민 nori 체크카드(RF),토핑스 화정점,4000,0,일시불,,0,0,전표매입,,30009321
2021-01-27,18:01,KB국민 nori 체크카드(RF),씨유 행신중앙로점,1800,0,일시불,,0,0,전표매입,,30009316
2021-01-27,17:41,KB국민 nori 체크카드(RF),페이펄문구센터화정점,7300,0,일시불,,0,0,전표매입,,30009302
2021-01-22,18:31,KB국민 nori 체크카드(RF),머리띵,4850,0,일시불,,0,0,전표매입,,30009293
2021-01-16,00:33,KB국민 nori 체크카드(RF),선물하기(쿠)_카카오페이,5800,0,일시불,,0,0,전표매입,,30009272
2021-01-15,05:51,KB국민 nori 체크카드(RF),버스 2 건,2400,0,일시불,,0,0,전표매입,2021-01-20,45558964
2021-01-14,15:28,KB국민 nori 체크카드(RF),주)스타벅스커피코리아,1800,0,일시불,,0,0,전표매입,,30009269
2021-01-14,15:01,KB국민 nori 체크카드(RF),페이펄문구센터화정점,6800,0,일시불,,0,0,전표매입,,30009256
2021-01-09,14:21,KB국민 nori 체크카드(RF),메가엠지씨커피행신역점,10500,0,일시불,,0,0,전표매입,,30009248
